department,education,gender,recruitment_channel,age,performance,is_promoted
Sales & Marketing,PHD,f,sourcing,20,Average,No
Analytics,Bachelor,m,other,34,Average,No
Procurement,Master,m,sourcing,46,Average,No
HR,Master,m,other,47,Average,No
Operations,Bachelor,f,other,44,Good,No
Analytics,Bachelor,m,sourcing,31,Good,No
Technology,Bachelor,f,sourcing,23,Good,No
Operations,Bachelor,f,sourcing,33,Good,No
Sales & Marketing,Bachelor,m,other,41,Good,No
Finance,Master,m,other,60,Good,No
Operations,Bachelor,m,other,31,Good,Yes
Operations,Bachelor,f,other,37,Good,No
Analytics,Bachelor,m,sourcing,39,Good,No
Sales & Marketing,Bachelor,m,other,40,Good,No
Sales & Marketing,Master,m,sourcing,42,Good,No
Operations,Bachelor,m,other,35,Good,Yes
Operations,Master,f,sourcing,41,Good,No
Procurement,Bachelor,f,other,23,Good,No
Sales & Marketing,Bachelor,m,sourcing,31,Good,No
Analytics,Master,m,other,42,Good,No
Sales & Marketing,Bachelor,m,other,29,Good,No
HR,Bachelor,f,other,30,Good,No
Operations,Bachelor,m,sourcing,41,Good,No
Sales & Marketing,Bachelor,f,other,40,Good,Yes
Sales & Marketing,Bachelor,m,referred,34,Good,No
Sales & Marketing,Bachelor,f,other,31,Good,No
Technology,Bachelor,m,other,27,Good,Yes
Procurement,Bachelor,m,sourcing,30,Good,No
Procurement,Bachelor,f,other,27,Good,Yes
Technology,Bachelor,m,other,36,Good,No
Technology,Bachelor,m,sourcing,35,Good,No
Sales & Marketing,Master,m,other,34,Good,Yes
Procurement,Master,m,sourcing,37,Outstanding,Yes
Operations,Bachelor,f,sourcing,27,Good,No
Procurement,Master,m,sourcing,47,Good,No
Analytics,Bachelor,m,other,28,Good,No
Procurement,Master,f,other,40,Good,No
Sales & Marketing,Bachelor,f,other,30,Average,No
Operations,Master,m,other,38,Average,No
Sales & Marketing,Bachelor,m,other,30,Average,No
Sales & Marketing,Bachelor,f,sourcing,28,Average,No
Procurement,Bachelor,m,sourcing,28,Average,No
Operations,Bachelor,m,sourcing,35,Average,No
Analytics,Bachelor,m,other,32,Outstanding,Yes
Sales & Marketing,Master,m,sourcing,36,Good,No
Operations,Bachelor,m,sourcing,24,Good,No
Technology,Bachelor,m,other,27,Good,No
Finance,Master,m,other,34,Good,No
Technology,Bachelor,f,other,31,Outstanding,No
Technology,Bachelor,f,sourcing,30,Good,No
Technology,Bachelor,f,other,30,Outstanding,No
Finance,Bachelor,m,sourcing,31,Good,No
Analytics,Bachelor,m,other,30,Good,No
Finance,Bachelor,m,sourcing,28,Good,No
Technology,Bachelor,m,other,28,Good,No
Sales & Marketing,Bachelor,m,other,29,Good,No
Sales & Marketing,Master,m,sourcing,46,Good,No
Technology,Bachelor,m,sourcing,31,Good,No
Procurement,Bachelor,m,sourcing,28,Good,No
Sales & Marketing,Master,m,other,31,Good,No
HR,Master,f,other,37,Good,No
Technology,Bachelor,f,other,34,Good,Yes
Procurement,Bachelor,m,sourcing,25,Good,Yes
Operations,Master,m,sourcing,40,Good,No
Operations,Master,m,other,43,Good,Yes
Operations,Bachelor,m,other,36,Good,No
Legal,Bachelor,m,sourcing,29,Good,No
Finance,Bachelor,m,sourcing,35,Good,No
Analytics,Master,m,other,34,Good,No
Sales & Marketing,Bachelor,f,sourcing,32,Good,No
HR,Bachelor,m,other,27,Good,No
Technology,Bachelor,m,sourcing,29,Good,No
Sales & Marketing,Bachelor,m,sourcing,34,Good,No
Procurement,Master,m,sourcing,37,Good,No
Procurement,Bachelor,f,other,33,Good,No
Procurement,Master,f,other,33,Good,No
Sales & Marketing,Bachelor,f,other,39,Average,No
Technology,Master,m,other,34,Average,No
Technology,Bachelor,m,other,32,Average,No
Sales & Marketing,Master,m,other,34,Average,No
Finance,Bachelor,m,other,29,Average,No
Sales & Marketing,Bachelor,m,sourcing,28,Average,No
Technology,Bachelor,f,other,28,Average,No
Procurement,Master,f,other,35,Average,No
Technology,Bachelor,f,other,40,Average,No
Sales & Marketing,Bachelor,f,other,27,Average,No
Procurement,Bachelor,f,other,26,Average,No
Operations,Bachelor,m,sourcing,43,Average,No
Finance,Bachelor,m,other,23,Average,No
Analytics,Bachelor,m,sourcing,29,Average,No
Sales & Marketing,Bachelor,m,sourcing,43,Good,No
Sales & Marketing,Bachelor,m,sourcing,27,Good,No
Procurement,Bachelor,m,sourcing,26,Good,No
Procurement,Bachelor,f,other,31,Good,No
Operations,Bachelor,m,other,40,Good,No
Operations,Bachelor,f,other,39,Good,No
Operations,Bachelor,f,other,30,Good,No
Technology,Master,m,other,47,Good,No
Sales & Marketing,Bachelor,m,other,34,Good,Yes
Operations,PHD,f,other,33,Good,No
Sales & Marketing,Master,m,other,41,Good,No
Technology,Bachelor,m,other,29,Good,No
Analytics,Bachelor,f,other,32,Good,No
Procurement,Master,f,other,47,Good,No
Operations,Bachelor,m,other,35,Good,No
Technology,Bachelor,m,other,27,Good,No
Analytics,Bachelor,m,other,29,Good,No
Sales & Marketing,Bachelor,m,sourcing,36,Good,No
Sales & Marketing,Bachelor,m,other,35,Good,No
Procurement,Bachelor,f,sourcing,34,Good,No
Sales & Marketing,Master,f,sourcing,34,Outstanding,Yes
Operations,Master,m,sourcing,39,Good,No
Sales & Marketing,Bachelor,m,other,26,Good,No
Operations,Bachelor,f,sourcing,30,Good,No
Operations,PHD,f,other,31,Good,No
HR,Master,m,sourcing,44,Good,No
Sales & Marketing,Bachelor,m,other,38,Good,No
Technology,Bachelor,m,other,40,Good,No
Legal,Master,m,sourcing,50,Outstanding,No
Procurement,Master,m,other,44,Good,No
Procurement,PHD,f,other,23,Good,No
Sales & Marketing,Master,f,sourcing,36,Good,No
Analytics,Bachelor,m,sourcing,25,Good,No
Operations,Bachelor,m,sourcing,34,Good,No
Analytics,Bachelor,m,sourcing,28,Good,No
Analytics,Bachelor,m,other,30,Good,No
Procurement,Bachelor,m,sourcing,35,Good,No
Analytics,Bachelor,m,sourcing,33,Good,No
Analytics,Master,m,other,30,Good,No
Analytics,Bachelor,m,other,27,Average,Yes
Procurement,Bachelor,m,other,29,Average,No
Operations,Bachelor,m,sourcing,43,Average,No
Analytics,Bachelor,m,other,28,Average,No
Procurement,Bachelor,m,other,31,Average,No
Operations,Bachelor,f,other,43,Average,No
Operations,Bachelor,f,other,35,Average,No
Sales & Marketing,Bachelor,m,other,35,Good,No
Operations,Master,m,other,50,Good,No
HR,Bachelor,f,other,26,Good,No
Sales & Marketing,Bachelor,m,sourcing,32,Good,No
Operations,Master,f,other,38,Outstanding,Yes
Sales & Marketing,PHD,m,other,22,Good,No
HR,Bachelor,m,other,28,Good,No
Procurement,Bachelor,f,sourcing,37,Good,No
Analytics,Bachelor,m,sourcing,54,Good,No
Sales & Marketing,Bachelor,m,sourcing,36,Good,No
Technology,Bachelor,m,other,35,Good,No
Analytics,Bachelor,m,other,39,Good,No
Operations,Bachelor,f,sourcing,31,Good,No
Operations,Bachelor,m,other,38,Outstanding,No
Sales & Marketing,Bachelor,m,sourcing,28,Good,No
Sales & Marketing,Bachelor,m,sourcing,26,Good,No
Sales & Marketing,Bachelor,m,sourcing,29,Good,No
Analytics,Bachelor,m,sourcing,30,Good,No
Operations,Bachelor,m,sourcing,37,Good,Yes
R&D,PHD,m,other,25,Good,No
Technology,Bachelor,m,referred,26,Good,No
Technology,Bachelor,m,other,31,Good,No
Technology,Bachelor,f,other,38,Good,No
Sales & Marketing,Bachelor,m,other,39,Good,No
Sales & Marketing,Bachelor,m,other,30,Outstanding,No
Procurement,Master,f,other,34,Good,No
Procurement,Master,f,other,33,Good,No
Technology,Bachelor,f,other,29,Good,No
Operations,Bachelor,m,sourcing,28,Good,No
Finance,Bachelor,m,sourcing,24,Good,No
Analytics,Bachelor,m,other,26,Average,No
Legal,Bachelor,m,sourcing,34,Average,No
Sales & Marketing,Bachelor,m,sourcing,35,Average,No
Technology,Master,m,other,43,Average,No
Sales & Marketing,Bachelor,m,other,34,Average,No
Technology,Master,f,other,38,Average,Yes
Operations,Bachelor,f,other,34,Average,No
Operations,Bachelor,m,sourcing,41,Average,No
Finance,Bachelor,m,sourcing,29,Average,No
Operations,Bachelor,m,other,33,Average,No
Sales & Marketing,Master,f,other,41,Average,No
Operations,Master,m,other,38,Good,No
Procurement,Master,f,other,54,Good,No
Sales & Marketing,Master,f,sourcing,34,Good,No
R&D,Bachelor,m,other,26,Good,No
Operations,Bachelor,f,sourcing,35,Good,No
Legal,PHD,m,other,28,Good,No
Operations,Master,m,other,36,Good,No
Technology,Bachelor,m,other,45,Good,No
Procurement,Master,m,other,38,Good,No
Sales & Marketing,Bachelor,f,other,26,Good,No
Analytics,PHD,m,sourcing,31,Good,No
Analytics,Bachelor,m,sourcing,32,Good,No
Analytics,Bachelor,m,sourcing,29,Good,No
Sales & Marketing,Bachelor,f,other,40,Good,No
Technology,Bachelor,m,referred,29,Good,No
Analytics,Bachelor,m,other,31,Good,No
Finance,Bachelor,m,other,32,Good,No
Operations,Bachelor,m,other,42,Good,No
Procurement,Bachelor,f,sourcing,30,Good,No
Procurement,Bachelor,f,other,24,Good,No
Sales & Marketing,Bachelor,m,sourcing,35,Good,No
Technology,Bachelor,f,sourcing,32,Good,No
HR,Bachelor,f,sourcing,22,Good,No
Sales & Marketing,Bachelor,m,sourcing,44,Good,No
Operations,Bachelor,m,other,39,Good,No
Technology,Bachelor,f,other,46,Good,No
Technology,Bachelor,m,other,29,Good,No
Finance,Bachelor,m,other,26,Good,No
Operations,Bachelor,m,other,35,Good,No
Procurement,Bachelor,f,other,29,Good,Yes
Technology,Bachelor,m,sourcing,30,Average,No
Sales & Marketing,Bachelor,m,other,45,Average,No
Sales & Marketing,Bachelor,f,other,30,Average,No
Finance,Bachelor,m,sourcing,28,Average,No
Technology,Master,m,sourcing,46,Average,No
Procurement,Bachelor,m,sourcing,27,Average,No
Sales & Marketing,Bachelor,m,sourcing,34,Average,No
Analytics,Bachelor,m,sourcing,32,Average,No
Operations,Bachelor,f,other,35,Average,No
Procurement,Bachelor,m,other,36,Average,No
Procurement,Master,f,other,58,Average,No
Finance,Bachelor,m,other,29,Good,No
Procurement,Bachelor,f,referred,33,Good,No
Operations,Bachelor,f,other,32,Good,No
Legal,PHD,m,other,25,Good,No
Procurement,Bachelor,m,other,41,Good,No
Procurement,Bachelor,f,other,25,Good,No
Analytics,Master,m,other,50,Outstanding,No
Sales & Marketing,Bachelor,m,other,30,Good,No
Technology,Bachelor,m,sourcing,28,Good,No
Analytics,Master,m,other,40,Outstanding,Yes
Finance,PHD,f,other,26,Good,No
Technology,Bachelor,m,other,35,Good,No
Sales & Marketing,Master,m,other,37,Good,No
Operations,Master,m,other,34,Good,Yes
Operations,Bachelor,m,sourcing,25,Good,No
Sales & Marketing,PHD,m,other,22,Good,Yes
Procurement,Bachelor,f,other,26,Good,Yes
Technology,Bachelor,f,other,31,Good,No
Finance,Bachelor,m,sourcing,31,Good,No
Analytics,Bachelor,m,sourcing,32,Good,No
Sales & Marketing,Bachelor,m,sourcing,36,Good,No
Technology,Bachelor,f,sourcing,57,Good,No
Sales & Marketing,Bachelor,f,sourcing,42,Good,No
Sales & Marketing,Bachelor,m,other,28,Good,No
Analytics,Bachelor,m,sourcing,33,Good,No
Analytics,Bachelor,m,sourcing,41,Good,No
Operations,PHD,m,other,26,Good,No
Procurement,Bachelor,f,other,32,Outstanding,Yes
Operations,PHD,m,other,48,Good,No
Operations,Master,m,other,41,Good,No
Technology,Master,m,other,31,Good,No
Sales & Marketing,Bachelor,m,other,37,Good,No
Analytics,Bachelor,m,other,30,Good,No
Finance,PHD,m,other,26,Average,No
Sales & Marketing,Bachelor,m,sourcing,44,Average,No
Operations,Bachelor,f,sourcing,44,Average,No
R&D,Master,m,other,30,Outstanding,Yes
Operations,PHD,m,other,24,Average,No
Sales & Marketing,Bachelor,m,other,40,Average,No
Technology,Master,m,other,32,Average,No
Sales & Marketing,Bachelor,m,sourcing,40,Average,No
Technology,PHD,f,other,24,Average,No
Sales & Marketing,Bachelor,m,other,45,Good,Yes
Sales & Marketing,Bachelor,f,other,34,Outstanding,Yes
Operations,PHD,f,other,58,Good,No
Technology,Bachelor,m,sourcing,35,Good,No
Sales & Marketing,PHD,m,other,24,Good,No
Sales & Marketing,Bachelor,m,other,35,Good,No
Technology,Bachelor,m,sourcing,31,Good,No
Operations,Bachelor,m,other,33,Good,No
HR,Master,f,sourcing,44,Good,No
Sales & Marketing,PHD,m,other,24,Good,Yes
Procurement,Bachelor,m,other,34,Good,No
Sales & Marketing,Bachelor,m,sourcing,37,Good,No
Operations,Bachelor,m,other,31,Good,No
Procurement,Bachelor,m,other,32,Good,No
Operations,Bachelor,f,other,33,Good,No
Operations,PHD,f,sourcing,53,Good,No
Operations,Bachelor,m,sourcing,37,Good,No
Sales & Marketing,Bachelor,m,sourcing,30,Good,No
Analytics,Bachelor,m,sourcing,35,Good,No
Technology,Bachelor,m,sourcing,32,Good,No
Operations,Bachelor,m,sourcing,45,Good,No
Procurement,Bachelor,m,other,29,Good,No
Sales & Marketing,Bachelor,m,sourcing,31,Good,No
Technology,Bachelor,m,sourcing,34,Good,No
Analytics,Bachelor,f,other,24,Average,No
Operations,Master,f,other,31,Average,No
Sales & Marketing,Master,f,other,37,Average,No
Sales & Marketing,Master,m,other,42,Average,No
Procurement,Master,m,other,40,Average,No
Operations,Bachelor,m,sourcing,37,Average,No
Operations,Bachelor,m,other,50,Average,No
Operations,Bachelor,m,other,28,Average,No
HR,Master,f,referred,57,Average,No
Sales & Marketing,Master,m,other,42,Average,No
Operations,Master,m,sourcing,34,Average,No
Operations,Bachelor,f,sourcing,34,Average,No
Operations,Bachelor,m,other,29,Average,No
Operations,Master,f,referred,32,Good,No
Operations,Bachelor,f,sourcing,27,Good,No
Analytics,Bachelor,m,other,30,Good,No
Technology,Master,m,other,46,Good,No
Sales & Marketing,Master,m,other,37,Good,Yes
Sales & Marketing,Bachelor,f,sourcing,48,Good,No
Technology,Bachelor,m,other,40,Good,No
Technology,Bachelor,m,other,32,Good,No
Sales & Marketing,Bachelor,m,other,33,Good,No
Procurement,Bachelor,f,other,35,Good,No
Sales & Marketing,PHD,m,sourcing,23,Good,No
Analytics,Master,m,other,32,Good,No
Operations,Bachelor,m,sourcing,31,Good,No
Operations,Bachelor,f,other,40,Good,No
Procurement,Master,m,other,43,Good,No
Operations,Master,m,other,38,Good,No
Sales & Marketing,Bachelor,m,other,36,Good,No
Procurement,Master,m,other,49,Good,No
Sales & Marketing,Bachelor,f,sourcing,32,Good,No
Analytics,Bachelor,m,other,26,Good,No
Analytics,Bachelor,m,sourcing,55,Good,No
HR,Master,f,other,35,Good,No
Operations,Master,f,other,36,Average,No
Sales & Marketing,Bachelor,m,other,29,Average,No
Procurement,Bachelor,m,other,46,Average,No
R&D,Bachelor,m,sourcing,30,Average,No
Sales & Marketing,Bachelor,m,other,51,Average,No
Sales & Marketing,Master,m,other,37,Average,No
Analytics,PHD,m,other,27,Average,No
Sales & Marketing,PHD,m,other,43,Average,No
HR,Bachelor,f,other,31,Average,No
Operations,Master,f,sourcing,38,Average,No
Sales & Marketing,Master,f,other,43,Average,No
Technology,Bachelor,m,sourcing,29,Average,No
Technology,Master,f,sourcing,30,Average,No
HR,Bachelor,f,other,49,Average,No
Analytics,Master,m,other,49,Good,No
Sales & Marketing,Master,m,sourcing,36,Good,No
Procurement,Master,m,sourcing,33,Good,No
Sales & Marketing,Master,m,other,52,Good,No
Sales & Marketing,Bachelor,f,other,29,Good,No
Operations,Bachelor,m,other,37,Good,No
Finance,PHD,m,other,25,Good,No
HR,PHD,m,sourcing,24,Good,No
Technology,Master,f,referred,37,Good,No
Operations,Bachelor,m,other,35,Good,Yes
Technology,Bachelor,f,other,33,Good,Yes
Procurement,Bachelor,f,sourcing,33,Good,No
Technology,Bachelor,f,other,59,Good,No
Analytics,Bachelor,m,sourcing,29,Good,No
Operations,Bachelor,f,other,38,Good,No
Operations,Bachelor,m,sourcing,48,Good,No
Legal,Bachelor,m,other,31,Good,No
Technology,Master,f,sourcing,32,Good,No
Procurement,Bachelor,m,other,24,Good,No
Technology,Master,m,sourcing,37,Good,No
Sales & Marketing,Bachelor,f,sourcing,32,Good,Yes
Sales & Marketing,Bachelor,m,other,31,Good,No
Operations,Bachelor,m,sourcing,45,Outstanding,No
Sales & Marketing,Bachelor,m,other,57,Good,No
Operations,Master,m,other,39,Good,No
Procurement,Master,m,sourcing,42,Good,No
Operations,Bachelor,f,other,45,Outstanding,Yes
Operations,Master,m,sourcing,41,Good,No
Technology,Master,f,sourcing,41,Good,No
Sales & Marketing,Master,m,sourcing,34,Good,No
Sales & Marketing,Bachelor,m,sourcing,47,Good,No
Sales & Marketing,Master,m,sourcing,33,Good,No
Operations,Master,f,sourcing,48,Good,Yes
Operations,Bachelor,m,other,34,Good,No
Sales & Marketing,Master,m,other,35,Good,No
Analytics,Master,m,sourcing,35,Good,No
Technology,Bachelor,f,sourcing,26,Good,No
Sales & Marketing,Master,m,sourcing,45,Good,No
Sales & Marketing,Master,f,sourcing,31,Good,No
Sales & Marketing,Bachelor,m,sourcing,30,Good,No
Sales & Marketing,Bachelor,m,sourcing,46,Average,No
Operations,Bachelor,f,other,60,Average,No
Operations,Bachelor,m,other,44,Average,No
Technology,Master,m,sourcing,35,Average,No
Sales & Marketing,Bachelor,m,sourcing,33,Average,No
Operations,Bachelor,m,sourcing,38,Average,No
Technology,Master,m,sourcing,39,Average,No
Sales & Marketing,Bachelor,m,other,30,Average,No
Operations,Bachelor,m,sourcing,31,Good,No
Sales & Marketing,Bachelor,m,sourcing,57,Good,No
Sales & Marketing,Bachelor,f,other,34,Good,No
Operations,Bachelor,m,other,38,Good,No
Sales & Marketing,PHD,m,other,24,Good,No
Procurement,Master,m,other,45,Good,Yes
Sales & Marketing,Master,m,other,40,Good,No
Procurement,Bachelor,m,other,32,Good,No
Sales & Marketing,Bachelor,f,sourcing,29,Good,No
Finance,Bachelor,f,other,39,Good,No
Analytics,Bachelor,m,sourcing,32,Good,No
Operations,Master,m,other,57,Good,No
Procurement,Bachelor,f,other,36,Good,No
Sales & Marketing,Bachelor,m,other,34,Good,No
HR,Master,f,other,33,Good,No
Technology,Master,m,sourcing,39,Good,No
Finance,Bachelor,f,sourcing,32,Good,No
Technology,Bachelor,m,referred,31,Good,No
Sales & Marketing,Bachelor,m,other,31,Good,No
Procurement,Bachelor,f,other,25,Good,No
Sales & Marketing,Bachelor,f,sourcing,43,Good,No
Operations,Bachelor,m,sourcing,25,Good,No
Procurement,Master,f,other,50,Good,No
Operations,Master,m,other,32,Good,Yes
Finance,Bachelor,m,sourcing,28,Good,No
Sales & Marketing,Bachelor,m,other,32,Good,No
Sales & Marketing,Bachelor,m,sourcing,34,Good,No
Operations,Bachelor,m,other,30,Good,No
Operations,Master,f,sourcing,33,Good,Yes
Procurement,Master,m,sourcing,46,Good,No
Sales & Marketing,Bachelor,m,sourcing,35,Good,Yes
Operations,Bachelor,m,other,33,Good,Yes
Operations,Bachelor,m,sourcing,30,Good,No
Procurement,Bachelor,m,sourcing,33,Good,No
Sales & Marketing,Bachelor,m,other,28,Good,No
Technology,Master,m,other,38,Good,No
Sales & Marketing,Bachelor,f,sourcing,34,Good,Yes
Sales & Marketing,PHD,f,other,40,Good,No
Procurement,Bachelor,f,sourcing,30,Good,No
Operations,Bachelor,f,sourcing,29,Good,No
R&D,Bachelor,m,sourcing,30,Average,No
Sales & Marketing,Bachelor,m,sourcing,38,Average,No
Operations,Bachelor,m,other,40,Average,No
Analytics,PHD,f,other,29,Average,No
HR,Master,f,sourcing,53,Average,No
Sales & Marketing,Bachelor,f,sourcing,26,Average,No
Analytics,Bachelor,m,other,28,Average,No
Analytics,Master,m,sourcing,26,Average,No
Procurement,Bachelor,m,other,28,Average,No
HR,Bachelor,f,sourcing,30,Average,No
Operations,Master,m,other,59,Average,No
R&D,Bachelor,f,other,29,Good,No
Technology,Bachelor,m,sourcing,31,Good,No
Procurement,Bachelor,f,other,26,Good,No
Operations,Master,f,sourcing,37,Good,No
Operations,Bachelor,f,sourcing,25,Good,No
Technology,Bachelor,m,other,27,Good,No
Operations,Master,m,sourcing,39,Good,No
Analytics,Bachelor,m,other,36,Good,Yes
Procurement,Master,m,other,35,Good,Yes
Technology,Bachelor,f,other,28,Good,No
Sales & Marketing,Bachelor,m,other,30,Good,No
Procurement,Master,m,sourcing,37,Good,No
Technology,Master,m,sourcing,35,Good,No
Sales & Marketing,Master,f,other,30,Good,No
R&D,Bachelor,m,sourcing,30,Good,Yes
Technology,Bachelor,m,other,45,Good,No
Procurement,Master,m,other,36,Good,No
Sales & Marketing,Bachelor,m,sourcing,37,Good,No
Procurement,Bachelor,f,sourcing,39,Good,No
Operations,Bachelor,m,other,37,Good,No
Procurement,Bachelor,m,other,28,Good,Yes
Procurement,Master,m,sourcing,40,Good,No
Sales & Marketing,Bachelor,m,other,30,Good,No
Operations,Master,m,other,36,Good,No
Sales & Marketing,Bachelor,f,other,27,Good,No
Operations,Bachelor,f,other,29,Good,No
Technology,Bachelor,f,sourcing,31,Good,No
Procurement,Master,m,other,36,Good,No
Operations,Bachelor,m,other,30,Average,No
Analytics,Master,m,other,32,Average,No
Sales & Marketing,Bachelor,m,sourcing,29,Average,No
Sales & Marketing,Bachelor,f,other,29,Average,No
Sales & Marketing,Master,m,other,38,Average,No
Procurement,Master,f,other,51,Average,No
Finance,Master,m,other,32,Average,No
Technology,Master,f,sourcing,36,Average,No
Operations,Bachelor,m,sourcing,30,Average,No
Finance,Bachelor,f,sourcing,26,Average,No
R&D,Bachelor,m,sourcing,32,Average,Yes
Sales & Marketing,Bachelor,m,other,26,Good,No
Analytics,Bachelor,m,sourcing,30,Good,No
Sales & Marketing,Bachelor,f,other,28,Good,No
Sales & Marketing,Bachelor,m,sourcing,40,Good,Yes
Legal,Bachelor,m,other,33,Good,No
Operations,PHD,f,sourcing,24,Good,Yes
Legal,PHD,m,other,27,Good,No
Operations,Bachelor,m,sourcing,30,Good,No
Sales & Marketing,Master,f,sourcing,37,Good,No
Operations,PHD,f,other,33,Good,No
Analytics,Bachelor,m,other,31,Good,No
Sales & Marketing,Bachelor,m,sourcing,43,Good,No
Sales & Marketing,Master,f,other,39,Good,Yes
Sales & Marketing,PHD,m,other,24,Outstanding,Yes
Procurement,Master,m,other,41,Good,No
R&D,Master,m,other,35,Good,No
Sales & Marketing,Bachelor,m,sourcing,24,Good,No
Sales & Marketing,Master,m,sourcing,33,Good,No
Sales & Marketing,Master,m,other,35,Good,No
Sales & Marketing,Bachelor,m,sourcing,30,Outstanding,No
Procurement,Bachelor,m,other,29,Good,No
Sales & Marketing,Bachelor,m,other,28,Good,No
Operations,Master,f,other,48,Good,No
Technology,Bachelor,m,other,31,Good,No
Sales & Marketing,Bachelor,m,other,26,Good,No
Sales & Marketing,PHD,m,sourcing,24,Good,No
Technology,Bachelor,f,referred,30,Good,No
Operations,Master,f,sourcing,38,Good,No
Sales & Marketing,PHD,m,sourcing,27,Good,No
Technology,Master,f,other,49,Good,No
Technology,Bachelor,f,other,32,Good,No
Operations,Bachelor,m,other,26,Good,No
Sales & Marketing,Bachelor,f,other,35,Average,No
Finance,Bachelor,f,other,46,Average,No
Procurement,Master,m,other,34,Average,No
Finance,Bachelor,f,sourcing,30,Average,No
Procurement,PHD,f,sourcing,53,Average,No
