age,workclass,education,marital.status,occupation,sex,native.country,income
43,Private,Assoc-acdm,Divorced,Craft-repair,Male,United-States,>50K
50,Self-emp-inc,11th,Never-married,Exec-managerial,Male,United-States,>50K
44,Private,Some-college,Married-civ-spouse,Adm-clerical,Female,United-States,>50K
51,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Male,China,>50K
41,Private,Prof-school,Married-civ-spouse,Prof-specialty,Male,United-States,>50K
60,Self-emp-inc,Assoc-voc,Married-civ-spouse,Machine-op-inspct,Male,?,>50K
37,Private,Masters,Married-civ-spouse,Exec-managerial,Male,United-States,>50K
55,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,Greece,>50K
39,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Male,United-States,>50K
42,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,United-States,>50K
55,Private,Bachelors,Married-civ-spouse,Sales,Male,United-States,>50K
47,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Male,United-States,>50K
41,Local-gov,Prof-school,Married-civ-spouse,Prof-specialty,Male,United-States,>50K
55,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Male,United-States,>50K
39,Private,Masters,Married-civ-spouse,Exec-managerial,Female,United-States,>50K
42,Private,Bachelors,Married-civ-spouse,Exec-managerial,Male,United-States,>50K
41,?,Assoc-voc,Married-civ-spouse,?,Male,United-States,>50K
46,Private,Masters,Married-civ-spouse,Sales,Male,United-States,>50K
40,Private,Masters,Married-civ-spouse,Exec-managerial,Male,United-States,>50K
32,Private,Bachelors,Married-civ-spouse,Prof-specialty,Male,United-States,>50K
41,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Male,United-States,>50K
60,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,United-States,>50K
31,Private,Masters,Married-civ-spouse,Exec-managerial,Male,Taiwan,>50K
58,Self-emp-not-inc,Some-college,Married-civ-spouse,Farming-fishing,Male,United-States,>50K
37,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Male,United-States,>50K
44,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Male,United-States,>50K
39,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,?,>50K
43,Federal-gov,Prof-school,Married-civ-spouse,Prof-specialty,Male,?,>50K
55,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Male,United-States,>50K
44,Self-emp-inc,Masters,Married-civ-spouse,Prof-specialty,Male,United-States,>50K
39,Private,Prof-school,Married-civ-spouse,Prof-specialty,Male,India,>50K
46,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Male,United-States,>50K
39,Private,Some-college,Married-civ-spouse,Farming-fishing,Male,United-States,>50K
62,Self-emp-inc,Bachelors,Married-civ-spouse,Farming-fishing,Male,United-States,>50K
31,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Female,United-States,>50K
46,Private,Bachelors,Married-civ-spouse,Adm-clerical,Male,Philippines,>50K
46,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,United-States,>50K
39,Self-emp-inc,Assoc-voc,Married-civ-spouse,Craft-repair,Male,United-States,>50K
39,Private,Prof-school,Married-civ-spouse,Sales,Male,United-States,>50K
55,Private,Doctorate,Married-civ-spouse,Prof-specialty,Male,United-States,>50K
50,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,United-States,>50K
46,Private,Doctorate,Married-civ-spouse,Prof-specialty,Male,United-States,>50K
53,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Male,United-States,>50K
50,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,United-States,>50K
41,Self-emp-inc,Prof-school,Married-civ-spouse,Exec-managerial,Female,United-States,>50K
36,Private,Bachelors,Married-civ-spouse,Sales,Male,United-States,>50K
38,Private,Prof-school,Married-civ-spouse,Prof-specialty,Male,United-States,>50K
54,Private,Some-college,Married-civ-spouse,Sales,Male,United-States,>50K
50,Private,Bachelors,Married-civ-spouse,Exec-managerial,Female,United-States,>50K
47,Private,Bachelors,Married-civ-spouse,Exec-managerial,Male,United-States,>50K
47,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,United-States,>50K
67,Private,Bachelors,Widowed,Exec-managerial,Male,United-States,>50K
67,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Male,United-States,>50K
72,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Male,United-States,>50K
72,?,Doctorate,Married-civ-spouse,?,Male,United-States,>50K
46,Self-emp-inc,Masters,Married-civ-spouse,Exec-managerial,Male,United-States,>50K
78,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Male,United-States,>50K
71,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Male,United-States,>50K
83,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Male,United-States,>50K
68,Private,Masters,Married-civ-spouse,Exec-managerial,Male,United-States,>50K
26,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Male,United-States,<=50K
68,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Male,United-States,>50K
55,Self-emp-inc,HS-grad,Married-civ-spouse,Adm-clerical,Female,United-States,>50K
36,Private,HS-grad,Married-civ-spouse,Prof-specialty,Male,United-States,<=50K
70,Self-emp-not-inc,Bachelors,Married-civ-spouse,Craft-repair,Male,United-States,>50K
27,Private,Some-college,Married-civ-spouse,Adm-clerical,Female,United-States,<=50K
35,Local-gov,Some-college,Married-civ-spouse,Exec-managerial,Male,United-States,<=50K
23,Private,HS-grad,Married-civ-spouse,Sales,Male,United-States,<=50K
81,Private,HS-grad,Married-civ-spouse,Exec-managerial,Male,United-States,>50K
66,Self-emp-not-inc,Doctorate,Married-civ-spouse,Sales,Male,United-States,>50K
71,Private,HS-grad,Married-civ-spouse,Exec-managerial,Male,United-States,>50K
68,Private,Some-college,Married-civ-spouse,Sales,Male,United-States,>50K
68,State-gov,Masters,Married-civ-spouse,Prof-specialty,Male,?,>50K
65,?,Bachelors,Married-civ-spouse,?,Male,United-States,>50K
52,Private,HS-grad,Married-civ-spouse,Sales,Male,United-States,<=50K
40,Self-emp-inc,Assoc-acdm,Married-civ-spouse,Craft-repair,Male,United-States,<=50K
68,?,Bachelors,Married-civ-spouse,?,Male,United-States,>50K
21,Private,Some-college,Married-civ-spouse,Exec-managerial,Male,United-States,<=50K
35,Private,HS-grad,Married-civ-spouse,Craft-repair,Male,United-States,<=50K
70,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Male,United-States,>50K
61,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Male,United-States,<=50K
65,Self-emp-inc,HS-grad,Married-civ-spouse,Farming-fishing,Male,United-States,<=50K
46,Private,5th-6th,Divorced,Craft-repair,Female,United-States,<=50K
26,Local-gov,Bachelors,Never-married,Prof-specialty,Male,United-States,<=50K
55,Local-gov,HS-grad,Widowed,Farming-fishing,Male,United-States,<=50K
61,Private,5th-6th,Never-married,Handlers-cleaners,Male,United-States,<=50K
60,State-gov,Bachelors,Divorced,Prof-specialty,Female,United-States,<=50K
55,Self-emp-inc,Some-college,Divorced,Exec-managerial,Male,United-States,<=50K
34,Private,Bachelors,Married-spouse-absent,Machine-op-inspct,Male,?,<=50K
25,Private,Bachelors,Never-married,Prof-specialty,Female,United-States,<=50K
55,Private,Some-college,Never-married,Adm-clerical,Female,?,<=50K
55,Local-gov,HS-grad,Separated,Protective-serv,Female,United-States,<=50K
28,State-gov,Some-college,Separated,Exec-managerial,Male,United-States,<=50K
43,?,Assoc-voc,Widowed,?,Female,United-States,<=50K
56,Self-emp-not-inc,Masters,Divorced,Sales,Female,United-States,<=50K
41,Private,HS-grad,Divorced,Craft-repair,Male,United-States,<=50K
42,Private,HS-grad,Never-married,Adm-clerical,Female,Trinadad&Tobago,<=50K
28,Private,Prof-school,Never-married,Prof-specialty,Male,Canada,<=50K
40,Self-emp-not-inc,Prof-school,Divorced,Other-service,Female,United-States,<=50K
69,Private,Bachelors,Widowed,Prof-specialty,Male,United-States,>50K
66,Local-gov,HS-grad,Married-civ-spouse,Craft-repair,Male,United-States,<=50K
69,Private,5th-6th,Married-civ-spouse,Machine-op-inspct,Male,United-States,<=50K
55,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Female,United-States,<=50K
57,Federal-gov,HS-grad,Never-married,Adm-clerical,Male,United-States,<=50K
20,Self-emp-not-inc,Some-college,Never-married,Farming-fishing,Male,United-States,<=50K
33,Private,HS-grad,Divorced,Craft-repair,Male,United-States,<=50K
30,Self-emp-not-inc,Some-college,Never-married,Sales,Male,South,<=50K
40,Private,Bachelors,Never-married,Tech-support,Female,Philippines,<=50K
38,Private,Some-college,Separated,Machine-op-inspct,Male,United-States,>50K
46,State-gov,Assoc-acdm,Divorced,Adm-clerical,Male,United-States,>50K
29,Private,Bachelors,Never-married,Exec-managerial,Female,United-States,>50K
57,Federal-gov,Bachelors,Never-married,Adm-clerical,Male,United-States,<=50K
39,Private,HS-grad,Never-married,Craft-repair,Male,United-States,>50K
47,Private,Bachelors,Divorced,Exec-managerial,Male,United-States,>50K
26,Private,Bachelors,Never-married,Exec-managerial,Male,United-States,>50K
27,Self-emp-not-inc,HS-grad,Never-married,Craft-repair,Male,United-States,<=50K
23,Private,Bachelors,Never-married,Prof-specialty,Female,United-States,>50K
34,Private,Masters,Never-married,Prof-specialty,Male,United-States,<=50K
33,Private,12th,Divorced,Craft-repair,Male,United-States,<=50K
38,Local-gov,Masters,Never-married,Prof-specialty,Female,United-States,<=50K
57,Private,Some-college,Widowed,Adm-clerical,Female,United-States,>50K
36,Private,HS-grad,Never-married,Exec-managerial,Male,United-States,<=50K
44,Federal-gov,Bachelors,Divorced,Tech-support,Male,United-States,>50K
55,State-gov,Doctorate,Never-married,Exec-managerial,Female,United-States,>50K
44,Self-emp-inc,Some-college,Never-married,Sales,Male,United-States,<=50K
55,Private,Some-college,Widowed,Farming-fishing,Male,United-States,>50K
45,Private,HS-grad,Divorced,Farming-fishing,Male,United-States,>50K
48,Private,HS-grad,Divorced,Exec-managerial,Female,United-States,>50K
31,Private,Bachelors,Married-civ-spouse,Exec-managerial,Male,United-States,>50K
55,Local-gov,HS-grad,Married-civ-spouse,Prof-specialty,Female,United-States,>50K
70,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Male,United-States,>50K
70,Self-emp-not-inc,Masters,Married-civ-spouse,Exec-managerial,Male,United-States,>50K
73,Private,Bachelors,Married-civ-spouse,Prof-specialty,Male,United-States,>50K
72,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,United-States,>50K
31,Private,HS-grad,Separated,Machine-op-inspct,Female,United-States,<=50K
28,Private,10th,Widowed,Adm-clerical,Female,United-States,<=50K
23,Self-emp-not-inc,Bachelors,Never-married,Adm-clerical,Male,United-States,>50K
55,Local-gov,9th,Widowed,Handlers-cleaners,Male,United-States,>50K
27,Local-gov,Some-college,Never-married,Protective-serv,Male,United-States,>50K
90,Private,HS-grad,Never-married,Other-service,Male,United-States,<=50K
68,Private,HS-grad,Widowed,Adm-clerical,Female,United-States,<=50K
65,Private,HS-grad,Divorced,Adm-clerical,Female,Canada,<=50K
65,?,HS-grad,Widowed,?,Female,United-States,<=50K
67,Private,Bachelors,Divorced,Exec-managerial,Female,United-States,<=50K
66,Local-gov,Bachelors,Widowed,Prof-specialty,Female,United-States,<=50K
24,Private,Some-college,Never-married,Adm-clerical,Male,United-States,<=50K
44,Self-emp-not-inc,Some-college,Divorced,Machine-op-inspct,Male,United-States,<=50K
35,Private,Some-college,Never-married,Adm-clerical,Female,United-States,<=50K
20,Private,Assoc-acdm,Never-married,Other-service,Female,United-States,<=50K
38,Private,HS-grad,Divorced,Craft-repair,Male,United-States,<=50K
39,Private,Some-college,Never-married,Other-service,Female,United-States,<=50K
32,Private,Some-college,Never-married,Machine-op-inspct,Female,Holand-Netherlands,<=50K
42,Private,7th-8th,Never-married,Handlers-cleaners,Male,United-States,<=50K
63,?,HS-grad,Divorced,?,Female,United-States,<=50K
42,Self-emp-inc,Masters,Divorced,Exec-managerial,Male,India,>50K
64,Private,11th,Married-civ-spouse,Craft-repair,Male,United-States,<=50K
28,Private,7th-8th,Married-civ-spouse,Handlers-cleaners,Male,Puerto-Rico,<=50K
41,Self-emp-inc,Assoc-voc,Married-civ-spouse,Sales,Male,Mexico,<=50K
41,Self-emp-not-inc,7th-8th,Married-civ-spouse,Craft-repair,Male,United-States,<=50K
58,Self-emp-not-inc,1st-4th,Married-civ-spouse,Transport-moving,Male,United-States,<=50K
55,State-gov,Some-college,Married-civ-spouse,Exec-managerial,Male,United-States,<=50K
34,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Female,United-States,<=50K
45,Private,HS-grad,Married-civ-spouse,Transport-moving,Male,United-States,<=50K
29,Private,HS-grad,Married-civ-spouse,Adm-clerical,Female,United-States,<=50K
47,Private,10th,Married-civ-spouse,Sales,Male,United-States,<=50K
40,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Male,United-States,<=50K
47,Self-emp-not-inc,5th-6th,Married-civ-spouse,Sales,Male,Mexico,<=50K
63,?,Bachelors,Married-civ-spouse,?,Male,United-States,<=50K
41,Self-emp-not-inc,HS-grad,Married-civ-spouse,Handlers-cleaners,Male,United-States,<=50K
34,Private,Some-college,Married-civ-spouse,Transport-moving,Male,United-States,<=50K
66,?,Bachelors,Married-civ-spouse,?,Male,United-States,>50K
65,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Male,United-States,>50K
70,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Male,United-States,>50K
75,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,United-States,>50K
65,State-gov,HS-grad,Married-civ-spouse,Adm-clerical,Male,United-States,>50K
65,Federal-gov,Some-college,Married-civ-spouse,Exec-managerial,Male,United-States,>50K
73,Private,Some-college,Married-civ-spouse,Prof-specialty,Male,United-States,>50K
60,?,Bachelors,Married-civ-spouse,?,Male,South,<=50K
68,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Prof-specialty,Male,United-States,<=50K
74,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Male,United-States,<=50K
43,Private,5th-6th,Married-civ-spouse,Machine-op-inspct,Female,?,<=50K
19,Self-emp-not-inc,11th,Married-civ-spouse,Craft-repair,Male,United-States,<=50K
37,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Male,United-States,<=50K
45,Federal-gov,Assoc-acdm,Divorced,Adm-clerical,Male,Philippines,<=50K
64,Private,Masters,Married-civ-spouse,Prof-specialty,Male,China,<=50K
30,Private,HS-grad,Married-civ-spouse,Transport-moving,Male,United-States,<=50K
51,Self-emp-not-inc,Some-college,Married-civ-spouse,Prof-specialty,Female,Canada,<=50K
35,Private,11th,Married-civ-spouse,Craft-repair,Male,United-States,<=50K
29,Private,HS-grad,Married-civ-spouse,Adm-clerical,Female,United-States,<=50K
34,Private,Some-college,Married-civ-spouse,Adm-clerical,Female,United-States,<=50K
41,Private,HS-grad,Married-civ-spouse,Craft-repair,Male,United-States,<=50K
35,Private,Some-college,Married-civ-spouse,Craft-repair,Male,United-States,<=50K
26,Private,Some-college,Married-civ-spouse,Adm-clerical,Male,United-States,<=50K
54,Private,HS-grad,Married-civ-spouse,Transport-moving,Male,United-States,<=50K
52,Local-gov,HS-grad,Married-civ-spouse,Craft-repair,Male,United-States,<=50K
50,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Male,United-States,<=50K
31,Private,Some-college,Married-civ-spouse,Adm-clerical,Male,United-States,<=50K
38,Federal-gov,HS-grad,Married-civ-spouse,Transport-moving,Male,United-States,<=50K
30,Private,Some-college,Married-civ-spouse,Craft-repair,Male,United-States,<=50K
34,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Male,United-States,<=50K
31,Private,Some-college,Married-civ-spouse,Sales,Male,United-States,<=50K
52,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Male,United-States,<=50K
54,Private,HS-grad,Married-civ-spouse,Craft-repair,Male,United-States,<=50K
38,Private,HS-grad,Married-civ-spouse,Craft-repair,Male,United-States,<=50K
39,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Male,United-States,<=50K
29,Private,Assoc-voc,Married-civ-spouse,Tech-support,Male,United-States,<=50K
45,Private,HS-grad,Married-civ-spouse,Craft-repair,Male,United-States,<=50K
34,Private,HS-grad,Married-civ-spouse,Transport-moving,Male,United-States,<=50K
38,Private,HS-grad,Married-civ-spouse,Craft-repair,Male,Poland,<=50K
39,Private,10th,Married-civ-spouse,Craft-repair,Male,United-States,<=50K
61,Private,HS-grad,Married-civ-spouse,Craft-repair,Male,United-States,<=50K
43,Private,11th,Married-civ-spouse,Transport-moving,Male,United-States,<=50K
35,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Male,United-States,<=50K
46,Private,Some-college,Married-civ-spouse,Sales,Male,United-States,<=50K
38,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Male,United-States,<=50K
42,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Male,United-States,<=50K
34,Private,Assoc-acdm,Married-civ-spouse,Tech-support,Male,United-States,<=50K
29,Private,7th-8th,Married-civ-spouse,Farming-fishing,Male,United-States,<=50K
32,Private,11th,Married-civ-spouse,Craft-repair,Male,United-States,<=50K
60,Private,HS-grad,Married-civ-spouse,Protective-serv,Male,United-States,<=50K
55,Local-gov,HS-grad,Married-civ-spouse,Craft-repair,Male,United-States,<=50K
53,Local-gov,HS-grad,Married-civ-spouse,Other-service,Male,United-States,<=50K
56,Private,7th-8th,Married-civ-spouse,Handlers-cleaners,Male,United-States,<=50K
48,Private,11th,Married-civ-spouse,Transport-moving,Male,United-States,<=50K
32,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Male,Iran,<=50K
42,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Male,United-States,<=50K
32,Private,Assoc-acdm,Married-civ-spouse,Prof-specialty,Male,United-States,<=50K
28,Local-gov,Assoc-acdm,Married-civ-spouse,Protective-serv,Male,England,<=50K
26,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Male,United-States,<=50K
55,Private,Bachelors,Married-civ-spouse,Exec-managerial,Male,United-States,<=50K
47,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Male,United-States,<=50K
26,?,Bachelors,Married-civ-spouse,?,Male,United-States,<=50K
41,Private,HS-grad,Married-civ-spouse,Craft-repair,Male,United-States,<=50K
36,Private,HS-grad,Married-civ-spouse,Craft-repair,Female,United-States,<=50K
45,Private,Bachelors,Married-civ-spouse,Sales,Male,United-States,<=50K
30,Private,Assoc-acdm,Married-civ-spouse,Prof-specialty,Male,United-States,<=50K
36,Private,HS-grad,Married-civ-spouse,Transport-moving,Male,United-States,<=50K
34,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Male,United-States,<=50K
53,Private,HS-grad,Married-civ-spouse,Transport-moving,Male,United-States,<=50K
51,Private,HS-grad,Married-civ-spouse,Sales,Male,United-States,<=50K
47,Self-emp-not-inc,Doctorate,Married-civ-spouse,Transport-moving,Male,United-States,<=50K
19,?,HS-grad,Never-married,?,Male,United-States,<=50K
30,Private,HS-grad,Never-married,Adm-clerical,Male,United-States,<=50K
20,Private,HS-grad,Never-married,Other-service,Male,United-States,<=50K
42,Federal-gov,Masters,Divorced,Adm-clerical,Male,United-States,<=50K
31,Private,11th,Never-married,Craft-repair,Male,United-States,<=50K
33,Private,Bachelors,Never-married,Handlers-cleaners,Male,United-States,<=50K
25,Private,Assoc-acdm,Never-married,Tech-support,Female,United-States,<=50K
20,Private,HS-grad,Never-married,Other-service,Male,United-States,<=50K
23,Private,HS-grad,Never-married,Adm-clerical,Male,United-States,<=50K
55,?,HS-grad,Separated,?,Female,United-States,<=50K
41,Self-emp-not-inc,Some-college,Divorced,Craft-repair,Male,United-States,<=50K
54,Self-emp-not-inc,HS-grad,Widowed,Craft-repair,Male,United-States,<=50K
25,Private,HS-grad,Never-married,Craft-repair,Male,United-States,<=50K
19,Private,Some-college,Never-married,Adm-clerical,Female,United-States,<=50K
24,Private,HS-grad,Never-married,Adm-clerical,Female,United-States,<=50K
56,Federal-gov,Bachelors,Never-married,Transport-moving,Male,United-States,<=50K
21,Local-gov,Some-college,Never-married,Other-service,Female,United-States,<=50K
34,Private,HS-grad,Never-married,Machine-op-inspct,Male,United-States,<=50K
19,Private,HS-grad,Never-married,Adm-clerical,Male,United-States,<=50K
21,?,Some-college,Never-married,?,Male,United-States,<=50K
48,Private,HS-grad,Separated,Adm-clerical,Female,United-States,<=50K
34,Private,Bachelors,Never-married,Other-service,Male,United-States,<=50K
31,Private,HS-grad,Never-married,Farming-fishing,Male,United-States,<=50K
36,Private,HS-grad,Never-married,Other-service,Female,United-States,<=50K
27,Private,HS-grad,Never-married,Other-service,Male,United-States,<=50K
27,Private,Some-college,Never-married,Craft-repair,Male,Philippines,<=50K
35,Private,Bachelors,Divorced,Sales,Female,United-States,<=50K
31,Self-emp-not-inc,Bachelors,Married-spouse-absent,Exec-managerial,Male,United-States,<=50K
27,Federal-gov,HS-grad,Never-married,Craft-repair,Male,United-States,<=50K
28,Local-gov,Assoc-acdm,Never-married,Adm-clerical,Female,United-States,<=50K
42,Private,HS-grad,Divorced,Transport-moving,Male,United-States,<=50K
44,Private,Some-college,Separated,Exec-managerial,Male,England,<=50K
41,Private,Bachelors,Divorced,Sales,Male,United-States,<=50K
28,Private,Bachelors,Never-married,Tech-support,Female,United-States,<=50K
41,Federal-gov,HS-grad,Never-married,Adm-clerical,Female,United-States,<=50K
35,Private,10th,Widowed,Other-service,Female,United-States,<=50K
58,Private,Masters,Divorced,Adm-clerical,Female,United-States,<=50K
40,Private,HS-grad,Divorced,Machine-op-inspct,Male,United-States,<=50K
31,Private,Assoc-voc,Never-married,Transport-moving,Male,United-States,<=50K
30,Private,HS-grad,Never-married,Sales,Female,United-States,<=50K
32,Private,Some-college,Separated,Tech-support,Male,United-States,<=50K
25,Private,Some-college,Never-married,Adm-clerical,Male,United-States,<=50K
34,Private,HS-grad,Never-married,Transport-moving,Male,United-States,<=50K
56,Private,Some-college,Divorced,Exec-managerial,Female,United-States,<=50K
45,Private,HS-grad,Divorced,Other-service,Male,United-States,<=50K
50,Private,HS-grad,Never-married,Adm-clerical,Male,United-States,<=50K
27,Private,10th,Never-married,Sales,Male,United-States,<=50K
51,Private,Some-college,Married-civ-spouse,Sales,Male,United-States,>50K
40,Private,Assoc-acdm,Married-civ-spouse,Tech-support,Male,United-States,>50K
41,Private,Masters,Married-civ-spouse,Exec-managerial,Male,United-States,>50K
55,Private,Masters,Married-civ-spouse,Exec-managerial,Male,United-States,>50K
37,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Male,United-States,>50K
36,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Female,United-States,>50K
35,Private,Prof-school,Married-civ-spouse,Prof-specialty,Male,United-States,>50K
29,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Female,United-States,>50K
50,Private,Bachelors,Married-civ-spouse,Prof-specialty,Female,United-States,>50K
46,Private,Bachelors,Married-civ-spouse,Sales,Male,United-States,>50K
